architecture,obfuscation,sparsity,planned_seeds,planned_runs,primary_endpoints
hawkes_flow_dsbm,none,dense,100,100,"link_auc;link_log_score;latency_ms_per_event"
static_gae_louvain,none,dense,100,100,"link_auc;link_log_score;latency_ms_per_event"
hawkes_flow_dsbm,none,moderate,100,100,"link_auc;link_log_score;latency_ms_per_event"
static_gae_louvain,none,moderate,100,100,"link_auc;link_log_score;latency_ms_per_event"
hawkes_flow_dsbm,none,sparse,100,100,"link_auc;link_log_score;latency_ms_per_event"
static_gae_louvain,none,sparse,100,100,"link_auc;link_log_score;latency_ms_per_event"
hawkes_flow_dsbm,padding,dense,100,100,"link_auc;link_log_score;latency_ms_per_event"
static_gae_louvain,padding,dense,100,100,"link_auc;link_log_score;latency_ms_per_event"
hawkes_flow_dsbm,padding,moderate,100,100,"link_auc;link_log_score;latency_ms_per_event"
static_gae_louvain,padding,moderate,100,100,"link_auc;link_log_score;latency_ms_per_event"
hawkes_flow_dsbm,padding,sparse,100,100,"link_auc;link_log_score;latency_ms_per_event"
static_gae_louvain,padding,sparse,100,100,"link_auc;link_log_score;latency_ms_per_event"
hawkes_flow_dsbm,jitter,dense,100,100,"link_auc;link_log_score;latency_ms_per_event"
static_gae_louvain,jitter,dense,100,100,"link_auc;link_log_score;latency_ms_per_event"
hawkes_flow_dsbm,jitter,moderate,100,100,"link_auc;link_log_score;latency_ms_per_event"
static_gae_louvain,jitter,moderate,100,100,"link_auc;link_log_score;latency_ms_per_event"
hawkes_flow_dsbm,jitter,sparse,100,100,"link_auc;link_log_score;latency_ms_per_event"
static_gae_louvain,jitter,sparse,100,100,"link_auc;link_log_score;latency_ms_per_event"

